,CRIM,INDUS,NOX,RM,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
38,0.17505,5.96,0.499,5.966,3.8473,5,279,19.2,393.43,10.13,24.7
43,0.15936,6.91,0.448,6.211,5.7209,3,233,17.9,394.46,7.44,24.7
45,0.17142,6.91,0.448,5.682,5.1004,3,233,17.9,396.9,10.21,19.3
46,0.18836,6.91,0.448,5.786,5.1004,3,233,17.9,396.9,14.15,20.0
47,0.22927,,0.448,6.03,5.6894,3,233,17.9,392.74,18.8,16.6
48,0.25387,6.91,0.448,5.399,5.87,3,233,17.9,396.9,30.81,14.4
49,0.21977,6.91,0.448,5.602,6.0877,3,233,17.9,396.9,16.2,19.4
58,0.15445,5.13,0.453,6.145,7.8148,8,284,19.7,390.68,6.86,23.3
61,0.17171,5.13,0.453,5.966,6.8185,8,284,19.7,378.08,14.44,16.0
123,0.15038,,0.581,5.856,1.9444,2,188,19.1,370.31,25.41,17.3
125,0.16902,25.65,0.581,5.986,1.9929,2,188,19.1,385.02,14.81,21.4
126,0.38735,25.65,0.581,5.613,1.7572,2,188,19.1,359.29,27.26,15.7
206,0.22969,10.59,0.489,6.326,4.3549,4,277,18.6,394.87,10.97,24.4
207,0.25199,10.59,0.489,5.783,4.3549,4,277,18.6,389.43,,22.5
209,0.43571,10.59,0.489,5.344,3.875,4,277,18.6,396.9,23.09,20.0
210,0.17446,10.59,0.489,5.96,3.8771,4,277,18.6,393.25,17.27,21.7
211,0.37578,10.59,0.489,5.404,3.665,4,277,18.6,395.24,23.98,19.3
212,0.21719,10.59,0.489,5.807,3.6526,4,277,18.6,390.94,16.03,22.4
214,0.28955,10.59,0.489,5.412,3.5875,4,277,18.6,348.93,29.55,23.7
215,0.19802,10.59,0.489,6.182,3.9454,4,277,18.6,393.63,9.47,25.0
257,0.61154,3.97,0.647,8.704,1.801,5,264,13.0,389.7,5.12,50.0
258,0.66351,3.97,0.647,7.333,1.8946,5,264,13.0,383.29,7.79,36.0
259,0.65665,3.97,0.647,6.842,2.0107,5,264,13.0,391.93,6.9,30.1
260,0.54011,3.97,0.647,7.203,2.1121,5,264,13.0,392.8,9.59,33.8
261,0.53412,3.97,0.647,7.52,2.1398,5,264,13.0,388.37,7.26,43.1
263,0.82526,3.97,0.647,7.327,2.0788,5,264,13.0,393.42,11.25,31.0
264,0.55007,3.97,0.647,7.206,1.9301,5,264,13.0,387.89,8.1,36.5
265,0.76162,3.97,0.647,5.56,1.9865,5,264,13.0,392.4,10.45,22.8
266,0.7857,3.97,0.647,7.014,2.1329,5,264,13.0,384.07,14.79,30.7
267,0.57834,3.97,0.575,8.297,2.4216,5,264,13.0,384.54,7.44,50.0
268,0.5405,3.97,0.575,7.47,2.872,5,264,13.0,390.3,3.16,43.5
270,0.29916,6.96,0.464,5.856,4.429,3,223,18.6,388.65,13.0,21.1
271,0.16211,6.96,0.464,6.24,4.429,3,223,18.6,396.9,,25.2
273,0.22188,6.96,0.464,7.691,4.3665,3,223,18.6,390.77,6.58,35.2
279,0.21038,3.33,0.4429,6.812,4.1007,5,216,14.9,396.9,4.85,35.1
320,0.1676,7.38,0.493,6.426,4.5404,5,287,19.6,396.9,7.2,23.8
321,0.18159,7.38,0.493,6.376,4.5404,5,287,19.6,396.9,6.87,23.1
322,0.35114,7.38,0.493,6.041,4.7211,5,287,19.6,396.9,7.7,20.4
323,0.28392,7.38,0.493,5.708,4.7211,5,287,19.6,391.13,11.74,18.5
324,0.34109,7.38,0.493,6.415,4.7211,5,287,19.6,396.9,6.12,25.0
325,0.19186,7.38,0.493,6.431,5.4159,5,287,19.6,393.68,5.08,24.6
326,0.30347,7.38,0.493,6.312,5.4159,5,287,19.6,396.9,6.15,23.0
327,0.24103,7.38,0.493,6.083,5.4159,5,287,19.6,396.9,12.79,22.2
